Home Game #,Game Date,Year,Month,Day of Week,Weekend / Weekday,Game Time,Day/Night,Full Season Tickets (#),Full Season Revenue ($),Full Season Avg Price ($),Partial Season Tickets (#),Partial Season Revenue ($),Partial Season Avg Price ($),Group Tickets (#),Group Revenue ($),Group Avg Price ($),Single Game Tickets (#),Single Game Revenue ($),Single Game Avg Price ($),No-Show Rate,Total Tickets (#),Actual Attendance (#),Total Revenue ($),Average Ticket Price ($),Is First Month
41,2021-06-30,2021,June,Wednesday,Weekday,19:10:00,Night Game,9339,415893.22,44.53,3330,91335.07,27.43,2242,70004.59,31.22,6370,114554.82,17.98,0.1884,21281,17272,691787.7,32.51,False
42,2021-07-01,2021,July,Thursday,Weekday,13:10:00,Day Game,9233,409812.57,44.39,2120,42327.55,19.97,8381,211169.32,25.2,10569,280641.09,26.55,0.1505,30303,25742,943950.53,31.15,False
43,2021-07-02,2021,July,Friday,Weekend,19:10:00,Night Game,9995,441710.64,44.19,3743,97278.59,25.99,7433,181997.95,24.49,5554,191289.82,34.44,0.1784,26725,21957,912277.0,34.14,False
44,2021-07-03,2021,July,Saturday,Weekend,19:15:00,Night Game,9326,413290.21,44.32,3689,132595.52,35.94,5626,242904.27,43.18,8376,320127.06,38.22,0.1842,21565,17593,1108917.06,51.42,False
45,2021-07-04,2021,July,Sunday,Weekend,13:10:00,Day Game,9382,414798.9,44.21,4522,156820.2,34.68,4820,159840.72,33.16,14644,567227.07,38.73,0.1478,33368,28436,1298686.89,38.92,False
46,2021-07-16,2021,July,Friday,Weekend,19:10:00,Night Game,9447,416161.59,44.05,5108,146482.58,28.68,9205,178049.56,19.34,9241,204580.72,22.14,0.1587,33001,27764,945274.45,28.64,False
47,2021-07-17,2021,July,Saturday,Weekend,18:15:00,Night Game,9349,414861.47,44.37,5220,181352.26,34.74,9255,289022.82,31.23,10438,412486.82,39.52,0.1546,34262,28965,1297723.37,37.88,False
48,2021-07-18,2021,July,Sunday,Weekend,13:10:00,Day Game,9374,416251.97,44.4,4845,170406.2,35.17,7772,233424.68,30.03,13476,538121.75,39.93,0.1475,35467,30236,1358204.6,38.29,False
49,2021-07-19,2021,July,Monday,Weekday,19:10:00,Night Game,9391,415432.97,44.24,2865,73575.4,25.68,3504,50820.0,14.5,7733,154262.07,19.95,0.1757,23493,19365,694090.44,29.54,False
50,2021-07-20,2021,July,Tuesday,Weekday,19:10:00,Night Game,9398,417233.67,44.4,3242,89431.28,27.59,2584,60965.58,23.59,6821,163972.53,24.04,0.1845,22045,17978,731603.06,33.19,False
51,2021-07-21,2021,July,Wednesday,Weekday,13:10:00,Day Game,9245,409453.82,44.29,2498,59817.31,23.95,7151,179294.7,25.07,12025,283775.43,23.6,0.1484,30919,26331,932341.26,30.15,False
52,2021-07-26,2021,July,Monday,Weekday,19:10:00,Night Game,9217,409923.81,44.47,2713,69214.27,25.51,2475,45255.84,18.29,6081,134015.03,22.04,0.1884,20486,16626,658408.95,32.14,False
53,2021-07-27,2021,July,Tuesday,Weekday,19:10:00,Night Game,9379,417504.81,44.51,3633,98999.85,27.25,3051,74797.91,24.52,8623,150851.17,17.49,0.1732,24686,20410,742153.74,30.06,False
54,2021-07-28,2021,July,Wednesday,Weekday,13:10:00,Day Game,9203,407653.12,44.3,2395,55436.35,23.15,8845,200528.69,22.67,10500,277889.21,26.47,0.1503,30943,26292,941507.37,30.43,False
55,2021-07-30,2021,July,Friday,Weekend,19:10:00,Night Game,9357,416090.68,44.47,3170,110546.39,34.87,10016,479946.3,47.92,11995,760620.25,63.41,0.146,34538,29495,1767203.62,51.17,False
56,2021-07-31,2021,July,Saturday,Weekend,18:10:00,Night Game,9363,417253.13,44.56,4626,169339.32,36.61,10775,564881.31,52.43,12431,811421.91,65.27,0.1461,37195,31761,1962895.67,52.77,False
57,2021-08-01,2021,August,Sunday,Weekend,13:10:00,Day Game,9424,417951.16,44.35,4655,164584.7,35.36,10341,529529.55,51.21,12451,824447.92,66.22,0.1469,36871,31455,1936513.33,52.52,False
58,2021-08-13,2021,August,Friday,Weekend,19:10:00,Night Game,9319,412257.07,44.24,5181,147760.17,28.52,3610,104911.56,29.06,8593,298781.46,34.77,0.1731,26703,22081,963710.26,36.09,False
59,2021-08-14,2021,August,Saturday,Weekend,18:10:00,Night Game,9357,415238.3,44.38,4814,173099.56,35.96,8199,263617.8,32.15,12078,457034.98,37.84,0.1508,34448,29253,1308990.64,38.0,False
60,2021-08-15,2021,August,Sunday,Weekend,13:10:00,Day Game,9653,425611.43,44.09,4642,161282.2,34.74,7925,270547.06,34.14,15052,616015.05,40.93,0.1441,37272,31901,1473455.74,39.53,False
61,2021-08-17,2021,August,Tuesday,Weekday,19:10:00,Night Game,9645,430405.87,44.62,3754,112940.69,30.09,3736,90757.47,24.29,15642,291405.69,18.63,0.1464,32777,27978,925509.72,28.24,False
62,2021-08-18,2021,August,Wednesday,Weekday,13:10:00,Day Game,9391,417076.54,44.41,2629,64915.87,24.69,7960,192223.56,24.15,14645,326497.62,22.29,0.1407,34625,29753,1000713.59,28.9,False
63,2021-08-27,2021,August,Friday,Weekend,19:10:00,Night Game,9664,422021.16,43.67,4841,143136.88,29.57,8429,144037.48,17.09,11376,240101.43,21.11,0.1539,34310,29030,949296.95,27.67,False
64,2021-08-28,2021,August,Saturday,Weekend,18:10:00,Night Game,9349,414961.59,44.39,4539,166626.46,36.71,8671,296455.14,34.19,10684,411915.88,38.55,0.1538,33243,28130,1289959.07,38.8,False
65,2021-08-29,2021,August,Sunday,Weekend,13:10:00,Day Game,9392,415223.0,44.21,5380,177304.7,32.96,4882,161835.04,33.15,11597,448693.04,38.69,0.1588,31251,26288,1203055.78,38.5,False
66,2021-08-30,2021,August,Monday,Weekday,18:05:00,Night Game,9738,435547.94,44.73,2676,69649.02,26.03,2152,29818.56,13.86,6275,143572.56,22.88,0.1912,20841,16856,678588.08,32.56,False
67,2021-08-31,2021,August,Tuesday,Weekday,18:40:00,Night Game,9521,425147.0,44.65,3473,94751.25,27.28,2967,57589.8,19.41,11463,163691.04,14.28,0.1612,27424,23003,741179.09,27.03,False
68,2021-09-01,2021,September,Wednesday,Weekday,13:10:00,Day Game,9433,421672.14,44.7,2562,64353.76,25.12,5215,137460.28,26.36,10582,257887.83,24.37,0.1581,27792,23398,881374.01,31.71,False
69,2021-09-06,2021,September,Monday,Weekday,15:10:00,Day Game,9913,436671.47,44.05,2393,84404.2,35.27,5498,110809.44,20.15,13382,245599.65,18.35,0.1498,31186,26514,877484.76,28.14,False
70,2021-09-07,2021,September,Tuesday,Weekday,18:40:00,Night Game,9396,416003.07,44.27,3670,106047.87,28.9,684,17117.16,25.03,7271,85556.4,11.77,0.1896,21021,17035,624724.5,29.72,False
71,2021-09-09,2021,September,Thursday,Weekday,18:10:00,Night Game,9327,413721.26,44.36,3226,89355.55,27.7,3076,115975.29,37.7,7141,259211.52,36.3,0.1804,22770,18662,878263.62,38.57,False
72,2021-09-10,2021,September,Friday,Weekend,19:10:00,Night Game,9656,427578.99,44.28,4111,139980.26,34.05,5957,239892.16,40.27,7212,358331.54,49.69,0.1736,26936,22260,1165782.95,43.28,False
73,2021-09-11,2021,September,Saturday,Weekend,18:10:00,Night Game,9648,427111.78,44.27,4100,152686.44,37.24,12447,543569.25,43.67,10649,660231.67,62.0,0.149,36844,31354,1783599.14,48.41,False
74,2021-09-12,2021,September,Sunday,Weekend,13:10:00,Day Game,9696,428613.52,44.21,4128,147083.2,35.63,11792,402578.62,34.14,10122,462827.6,45.72,0.1517,35738,30317,1441102.94,40.32,False
75,2021-09-20,2021,September,Monday,Weekday,18:40:00,Night Game,9261,412126.36,44.5,2834,75900.02,26.78,3319,62984.64,18.98,8141,74106.22,9.1,0.1734,23555,19471,625117.24,26.54,False
76,2021-09-21,2021,September,Tuesday,Weekday,18:40:00,Night Game,9225,411155.79,44.57,3912,114678.93,29.31,1111,38126.4,34.32,13292,94204.97,7.09,0.1571,27540,23213,658166.09,23.9,False
77,2021-09-22,2021,September,Wednesday,Weekday,18:40:00,Night Game,9241,412752.08,44.67,4174,125100.19,29.97,1145,31264.04,27.3,14835,97971.32,6.6,0.1518,29395,24933,667087.63,22.69,False
78,2021-09-23,2021,September,Thursday,Weekday,15:10:00,Day Game,9204,409776.41,44.52,3095,84434.59,27.28,2012,61193.77,30.41,9942,160759.34,16.17,0.1682,24253,20174,716164.11,29.53,False
79,2021-09-24,2021,September,Friday,Weekend,19:10:00,Night Game,9788,428146.31,43.74,3759,136611.76,36.34,3728,71377.94,19.15,18087,268627.79,14.85,0.1404,35362,30397,904763.8,25.59,False
80,2021-09-25,2021,September,Saturday,Weekend,18:10:00,Night Game,9408,416214.43,44.24,5157,187731.93,36.4,10768,233647.68,21.7,8929,302160.67,33.84,0.1569,34262,28886,1139754.71,33.27,False
81,2021-09-26,2021,September,Sunday,Weekend,13:10:00,Day Game,9396,416190.79,44.29,5124,171135.2,33.4,6010,141384.29,23.52,14363,372217.64,25.92,0.148,34893,29729,1100927.92,31.55,False
1,2022-04-18,2022,April,Monday,Weekday,19:10:00,Night Game,9520,405194.0,42.56,5251,225250.0,42.9,5244,274358.0,52.32,17350,1191406.0,68.67,0.1418,37365,32067,2096208.0,56.1,True
2,2022-04-19,2022,April,Tuesday,Weekday,19:10:00,Night Game,8747,420861.0,48.11,3308,91628.0,27.7,2439,55896.0,22.92,7703,108825.0,14.13,0.1764,22197,18281,677210.0,30.51,True
3,2022-04-20,2022,April,Wednesday,Weekday,17:40:00,Night Game,8991,398471.0,44.32,3140,93362.0,29.73,2563,53749.0,20.97,8106,105917.0,13.07,0.1749,22800,18812,651499.0,28.57,True
4,2022-04-22,2022,April,Friday,Weekend,19:10:00,Night Game,9035,439200.0,48.61,4769,165180.0,34.64,7340,237312.0,32.33,11293,419585.0,37.15,0.153,32437,27474,1261277.0,38.88,True
5,2022-04-23,2022,April,Saturday,Weekend,15:10:00,Day Game,8728,411644.0,47.16,4564,175384.0,38.43,6948,246740.0,35.51,10714,420474.0,39.25,0.1538,30954,26193,1254242.0,40.52,True
6,2022-04-24,2022,April,Sunday,Weekend,13:10:00,Day Game,9079,442251.0,48.71,4376,160835.0,36.75,7223,255354.0,35.35,11218,426165.0,37.99,0.1531,31896,27013,1284605.0,40.27,True
7,2022-05-02,2022,May,Monday,Weekday,19:10:00,Night Game,8581,411495.0,47.95,3235,96963.0,29.97,2385,56973.0,23.89,7999,115101.0,14.39,0.1739,22200,18339,680532.0,30.65,False
8,2022-05-03,2022,May,Tuesday,Weekday,19:10:00,Night Game,9093,399246.0,43.91,3153,94245.0,29.89,2407,53165.0,22.09,7834,106140.0,13.55,0.1775,22487,18496,652796.0,29.03,False
9,2022-05-04,2022,May,Wednesday,Weekday,13:10:00,Day Game,8488,397764.0,46.86,2365,63670.0,26.92,6481,153455.0,23.68,8035,180056.0,22.41,0.1604,25369,21300,794945.0,31.34,False
10,2022-05-05,2022,May,Thursday,Weekday,19:10:00,Night Game,9272,399247.0,43.06,3356,96575.0,28.78,2448,55224.0,22.56,8154,107680.0,13.21,0.1767,23230,19125,658726.0,28.36,False
11,2022-05-06,2022,May,Friday,Weekend,19:10:00,Night Game,9462,422849.0,44.69,4514,160656.0,35.59,7328,245176.0,33.46,10594,427311.0,40.34,0.1569,31898,26893,1255992.0,39.38,False
12,2022-05-07,2022,May,Saturday,Weekend,15:05:00,Day Game,9213,411909.0,44.71,4346,159474.0,36.69,6988,238262.0,34.1,11002,448806.0,40.79,0.1547,31549,26668,1258451.0,39.89,False
13,2022-05-08,2022,May,Sunday,Weekend,13:10:00,Day Game,9549,423142.0,44.31,4730,166552.0,35.21,6976,235446.0,33.75,10525,415625.0,39.49,0.1584,31780,26746,1240765.0,39.04,False
14,2022-05-19,2022,May,Thursday,Weekday,19:10:00,Night Game,9150,433813.0,47.41,3225,95299.0,29.55,2462,53159.0,21.59,8044,111461.0,13.86,0.1765,22881,18843,693732.0,30.32,False
15,2022-05-20,2022,May,Friday,Weekend,19:10:00,Night Game,9292,427740.0,46.03,4483,164102.0,36.61,7246,247053.0,34.1,10789,430174.0,39.87,0.1556,31810,26860,1269069.0,39.9,False
16,2022-05-21,2022,May,Saturday,Weekend,18:10:00,Night Game,8927,432636.0,48.46,4433,168773.0,38.07,7074,256302.0,36.23,10658,437772.0,41.07,0.1545,31092,26288,1295483.0,41.67,False
17,2022-05-22,2022,May,Sunday,Weekend,13:10:00,Day Game,9265,421348.0,45.48,4509,173000.0,38.37,6889,248614.0,36.09,10733,441799.0,41.16,0.1563,31396,26489,1284761.0,40.92,False
18,2022-05-23,2022,May,Monday,Weekday,19:10:00,Night Game,8691,434187.0,49.96,3331,97539.0,29.28,2498,57012.0,22.82,8249,109435.0,13.27,0.1729,22769,18832,698173.0,30.66,False
19,2022-05-24,2022,May,Tuesday,Weekday,19:10:00,Night Game,8693,426538.0,49.07,3132,93772.0,29.94,2464,55324.0,22.45,7931,107152.0,13.51,0.1745,22220,18343,682786.0,30.73,False
20,2022-05-25,2022,May,Wednesday,Weekday,19:10:00,Night Game,8739,421180.0,48.2,3087,96343.0,31.21,2425,54497.0,22.47,7662,107953.0,14.09,0.1764,21913,18048,679973.0,31.03,False
21,2022-06-06,2022,June,Monday,Weekday,19:10:00,Night Game,8747,417154.0,47.69,3096,95063.0,30.71,2570,56864.0,22.13,7987,109862.0,13.76,0.1741,22400,18500,678943.0,30.31,False
22,2022-06-07,2022,June,Tuesday,Weekday,19:10:00,Night Game,9154,433829.0,47.39,3103,97988.0,31.58,2376,53259.0,22.42,7609,109791.0,14.43,0.1792,22242,18256,694867.0,31.24,False
23,2022-06-08,2022,June,Wednesday,Weekday,17:40:00,Night Game,9150,413019.0,45.14,3241,99378.0,30.66,2470,54638.0,22.12,8171,108091.0,13.23,0.1758,23032,18983,675126.0,29.31,False
24,2022-06-10,2022,June,Friday,Weekend,19:10:00,Night Game,9536,416818.0,43.71,4657,164130.0,35.24,6695,255683.0,38.19,10541,448841.0,42.58,0.1587,31429,26441,1285472.0,40.9,False
25,2022-06-11,2022,June,Saturday,Weekend,15:10:00,Day Game,9295,405932.0,43.67,4556,168842.0,37.06,6888,253479.0,36.8,11117,423895.0,38.13,0.1552,31856,26912,1252148.0,39.31,False
26,2022-06-12,2022,June,Sunday,Weekend,13:10:00,Day Game,9376,433886.0,46.28,4390,161914.0,36.88,7071,238220.0,33.69,11344,431905.0,38.07,0.1543,32181,27215,1265925.0,39.34,False
27,2022-06-17,2022,June,Friday,Weekend,19:10:00,Night Game,9613,439677.0,45.74,4649,171659.0,36.92,6960,245887.0,35.33,11117,447031.0,40.21,0.1566,32339,27275,1304254.0,40.33,False
28,2022-06-18,2022,June,Saturday,Weekend,15:10:00,Day Game,9142,443252.0,48.49,4362,166699.0,38.22,6738,244365.0,36.27,10613,451988.0,42.59,0.1562,30855,26035,1306304.0,42.34,False
29,2022-06-19,2022,June,Sunday,Weekend,18:08:00,Night Game,8712,407303.0,46.75,4625,167655.0,36.25,6876,256061.0,37.24,10453,440200.0,42.11,0.1549,30666,25916,1271219.0,41.45,False
30,2022-06-21,2022,June,Tuesday,Weekday,19:10:00,Night Game,8711,414974.0,47.64,3109,92815.0,29.85,2374,52806.0,22.24,7677,111724.0,14.55,0.1763,21871,18015,672319.0,30.74,False
31,2022-06-22,2022,June,Wednesday,Weekday,13:10:00,Day Game,9032,400971.0,44.39,2566,67641.0,26.36,6494,153979.0,23.71,7353,176656.0,24.03,0.1666,25445,21206,799247.0,31.41,False
32,2022-06-30,2022,June,Thursday,Weekday,17:10:00,Night Game,8849,428240.0,48.39,3044,97216.0,31.94,2578,52686.0,20.44,7579,114309.0,15.08,0.1769,22050,18149,692451.0,31.4,False
33,2022-07-01,2022,July,Friday,Weekend,19:10:00,Night Game,9599,438369.0,45.67,4652,159689.0,34.33,7294,254578.0,34.9,10409,437526.0,42.03,0.1584,31954,26892,1290162.0,40.38,False
34,2022-07-02,2022,July,Saturday,Weekend,15:10:00,Day Game,9558,422527.0,44.21,4638,170333.0,36.73,7250,250493.0,34.55,10384,449837.0,43.32,0.1583,31830,26791,1293190.0,40.63,False
35,2022-07-03,2022,July,Sunday,Weekend,13:10:00,Day Game,9599,429817.0,44.78,4566,161561.0,35.38,6821,253912.0,37.23,11382,430371.0,37.81,0.1558,32368,27325,1275661.0,39.41,False
36,2022-07-04,2022,July,Monday,Weekday,15:10:00,Day Game,8474,429008.0,50.63,2386,69635.0,29.18,6498,156009.0,24.01,7917,186634.0,23.57,0.1608,25275,21211,841286.0,33.29,False
37,2022-07-05,2022,July,Tuesday,Weekday,19:10:00,Night Game,8784,406316.0,46.26,3171,99318.0,31.32,2505,53006.0,21.16,8099,106623.0,13.16,0.174,22559,18634,665263.0,29.49,False
38,2022-07-06,2022,July,Wednesday,Weekday,19:10:00,Night Game,8991,431154.0,47.95,3152,95960.0,30.44,2538,53990.0,21.27,7530,105544.0,14.02,0.1782,22211,18253,686648.0,30.91,False
39,2022-07-07,2022,July,Thursday,Weekday,13:10:00,Day Game,8724,419463.0,48.08,2457,69659.0,28.35,6752,157956.0,23.39,7488,192738.0,25.74,0.1636,25421,21262,839816.0,33.04,False
40,2022-07-15,2022,July,Friday,Weekend,19:10:00,Night Game,9084,441095.0,48.56,4441,161308.0,36.32,7076,243722.0,34.44,11137,433677.0,38.94,0.1537,31738,26860,1279802.0,40.32,False
41,2022-07-16,2022,July,Saturday,Weekend,15:10:00,Day Game,9252,410832.0,44.4,4357,167377.0,38.42,7220,255231.0,35.35,10636,430186.0,40.45,0.1558,31465,26563,1263626.0,40.16,False
42,2022-07-17,2022,July,Sunday,Weekend,13:10:00,Day Game,8854,405950.0,45.85,4534,168922.0,37.26,7040,253685.0,36.03,10467,422186.0,40.33,0.1551,30895,26103,1250743.0,40.48,False
43,2022-07-20,2022,July,Wednesday,Weekday,17:40:00,Night Game,8497,402863.0,47.41,3198,96962.0,30.32,2508,57196.0,22.81,8092,106620.0,13.18,0.1724,22295,18451,663641.0,29.77,False
44,2022-07-21,2022,July,Thursday,Weekday,12:10:00,Day Game,8838,394719.0,44.66,2455,69184.0,28.18,6262,150823.0,24.09,7703,182870.0,23.74,0.1645,25258,21103,797596.0,31.58,False
45,2022-07-28,2022,July,Thursday,Weekday,19:10:00,Night Game,8852,406612.0,45.93,3220,99183.0,30.8,2439,57375.0,23.52,7787,106922.0,13.73,0.1764,22298,18365,670092.0,30.05,False
46,2022-07-29,2022,July,Friday,Weekend,19:10:00,Night Game,9133,426806.0,46.73,4338,165502.0,38.15,7185,243146.0,33.84,10838,429376.0,39.62,0.1546,31494,26625,1264830.0,40.16,False
47,2022-07-30,2022,July,Saturday,Weekend,18:10:00,Night Game,9296,425687.0,45.79,4753,162030.0,34.09,7151,244773.0,34.23,11101,442557.0,39.87,0.1551,32301,27291,1275047.0,39.47,False
